@relation 'CommitMessages'

@attribute Text string
@attribute class-att {negative,positive}

@data



'abort first ',negative
'abort the export ',negative
'about delete last thing field replace with null ',negative
'about delete last thing field replace with null ',negative
'add actions the popup menu ',negative
'add all panels the tabbed pane ',negative
'add begin ',negative
'add button panel main panel ',negative
'add buttons button panel ',negative
'add column name the list ',negative
'add column neeeded ',negative
'add combo box for command execute ',negative
'add context menu items the object trees session node popup menu ',negative
'add context menu items the object trees view and procedure nodes ',negative
'add controls for file handling but only datatype can file operations ',negative
'add default value alter table tablename alter columnname set default defaultvalue ',negative
'add each the panels created the datatype objects for editing their own properties ',negative
'add external processing command field and button ',negative
'add jpanel pane ',negative
'add listener listen for items addedremoved from list ',negative
'add mouse listener for displaying popup menu ',negative
'add mouse listener for popup ',negative
'add new formatter for ',negative
'add note user about including file name command ',negative
'add panel containing binary data editing options needed ',negative
'add panels for core squirrel functionality ',negative
'add row headers help user understand what the second row ',negative
'add some space ',negative
'add the button group ',negative
'add the buttons ',negative
'add the data the existing tables ',negative
'add the list column names will inserting into sure skip the rowid column and any auto increment columns ',negative
'add the panel update ',negative
'add the parameter names and types use the session you got from the opensession call here ',negative
'adding all colums together ',negative
'adding all colums together ',negative
'adding labels and separators ',negative
'adding milliseconds from the orgtime file ',negative
'adding rows ',negative
'adding titles ',negative
'adds foreign key constraint the source table ',negative
'alias schema properties ',negative
'aliases ',negative
'all ',negative
'all cols are the use side delete from editwherecols ',negative
'all except wherelike ',negative
'all local and columns for the other tables ',negative
'all rules passed activate the button ',negative
'all schemas ',negative
'all tables except the merge into table ',negative
'all the string functions available dbms ',negative
'allow the save and reload user options related specific columns construct unique name for the table the column can associcated with only that table some drivers not provide the catalog schema info those parts the name will end null thats since this string never viewed the user and just used distinguish this table from other tables the also include the url used connect the that the same tabledb different machines treated differently ',negative
'allow the user enter just the hour just hour and minute and assume the unentered values are ',negative
'allow the user set for the fetch size indicate that this should not called jdbcodbc bridge driver fails execute sql once you have set the fetch size any value ',negative
'alter sequence sequencename restart with value ',negative
'alter sequence sequencename startwith increment minimum maximum cache cycle ',negative
'alter table childtablename add constraint constraintname foreign key childcolumn separator references parenttablename parentcolumn separator ',negative
'alter table localtablename add constraint constraintname foreign key localcolumn localcolumn references referencedtablename referencedcolumn referencedcolumn match full update restrict delete action deferrable initially deferred ',negative
'alter table oldobjectname rename newobjectname ',negative
'alter table oldtablename rename newtablename ',negative
'alter table tablename add constraint constraintname foreign key column list references exptablename column list delete update cascade set default set null ',negative
'alter table tablename add constraint constraintname primary key column list ',negative
'alter table tablename add constraint constraintname unique column column ',negative
'alter table tablename add constraint constraintname unique column list ',negative
'alter table tablename add constraint constraintname unique columnname separator ',negative
'alter table tablename add constraint nullfield check field not null ',negative
'alter table tablename alter column columnname set default alter sequence owned tablenamecolumnname ',negative
'alter table tablename alter column columnname set nullable ',negative
'alter table tablename drop constraint constraintname ',negative
'alter table tablename rename column oldcolumnname newcolumnname ',negative
'alter table test alter column nullvc varchar ',negative
'always add spaces end for consistancy ',negative
'always get the clob even when are not reading the contents since the clob just pointer the clob data rather than the data itself this operation should not take much time opposed getting all the data the clob ',negative
'analyze checkbox ',negative
