@relation 'CommitMessages'

@attribute Text string
@attribute class-att {negative,positive}

@data


'abreviation ',negative
'abrevs ourselfs the documentlistener dont use the netbeans implementation mainly because case sensitive come across performance problem one day can still try use this ',negative
'access file name naborting export ',negative
'access rights for columns the selected table ',negative
'access rights for the selected table ',negative
'accessible query ',negative
'accessible schemas and sys ',negative
'accessible schemas excluding sys ',negative
'action performed for the cancel button private void evt dlogsetvisiblefalse dlogdispose ',negative
'action performed for the combo box private void evt selectedindex combomodel cbfieldnamegetmodel fielddetails fielddetails ',negative
'action performed for the update button private void evt string query getquery dbutilsexecutequery dlogsetvisiblefalse dlogdispose field updated ',negative
'activate another session since the current active session has closed ',negative
'activity ',negative
'add all panels the tabbed panel ',negative
'add back ',negative
'add begin ',negative
'add button execute external command ',negative
'add button for applying file cmd info without doing anything else file cmd ',negative
'add button for brows ',negative
'add classpath string ',negative
'add columnname null clob ',negative
'add custom args given parameter ',negative
'add end ',negative
'add end ',negative
'add entries for insert and delete rows only table updateable and already editable allowediting false ',negative
'add help licence and change log nodes the tree ',negative
'add import control ',negative
'add item the windows menu for this window and store the menu item back the internal frame ',negative
'add label for the radio button group ',negative
'add listener buttons ',negative
'add menu ',negative
'add more space between the label and the button ',negative
'add more space the top the component ',negative
'add name commaseparated string for saving properties ',negative
'add node for each object ',negative
'add package node contain standalone procedures ',negative
'add packages ',negative
'add plugin help licence and change log documents the tree ',negative
'add rightclick menu cell editor ',negative
'add session ended listener needs for embedded derby ',negative
'add squirrel change log the licence node ',negative
'add squirrel help the help node ',negative
'add squirrel licence the licence node ',negative
'add stored proc parent node ',negative
'add table types list ',negative
'add the menu items the menu ',negative
'add the message handler the session ',negative
'add the names all laf objects control doing thru the map these will sorted ',negative
'add the procedures ',negative
'add the tables ',negative
'add the udts ',negative
'add the views ',negative
'add together the standard expanders for this node type and any individual expanders that there are for the node and process them ',negative
'add udt parent node ',negative
'add users the role ',negative
'add variable position for each the columns ',negative
'added patch for applemac ',negative
'adding milliseconds the orgtime file ',negative
'additional index creation ',negative
'addnew ',negative
'addokbtn addclosebtn ',negative
'adds foreign key constraint the source table for the new column ',negative
'adds the new column type integer ',negative
'after the lexer has been set scroll the reader that the correct spot well ',negative
'after this cant stopped anymore ',negative
'alias created ',negative
'alias created closed ',negative
'alias created closed finalized ',negative
'all and cache all schemas ',negative
'all but this ',negative
'all clob data when the contents tab displayed ',negative
'all columns table have empty strings the headings then the row height the label row zero dont want this ',negative
'all currently installed artifacts will marked with install action ',negative
'all fields ',negative
'all related tables ',negative
'all rules passed enable the buttons ',negative
'all schemas ',negative
'all schemas cache none ',negative
'all sheets and cells added now write out the workbook ',negative
'all tables ',negative
'all tables ',negative
'all the catalogs ',negative
'all the data from the clob has been read make sure there are newlines ',negative
'all the data has been read then the blob can edited the popup otherwise cannot ',negative
'all the data has been read then the clob can edited the popup otherwise cannot ',negative
'all the data types available dbms ',negative
'all the following have been converted use the datatype objects why not just have case typesnull and default this seems pointless rmm ',positive
'all the nonstandard keywords available dbms ',negative
'all the numeric functions available dbms ',negative
'all the schemas ',negative
'all the system functions available dbms ',negative
'all the table types available dbms ',negative
'all the timedate functions available dbms ',negative
